pairID,documentID,segmentID,hitType,source,target,sourceLemmatized,targetLemmatized,jaccardDistance,lengthDifference,sureAlignments,possAlignments,sourceHighlights,targetHighlights,answerSureAlignments,answerPossAlignments,answerSourceHighlights,answerTargetHighlights
AFC20030205.0020-6-0,AFC20030205.0020,6,real,"In the meantime , Lugar , the Republican senior senator on foreign affairs , also urgently called for the United States to engage in dialogs with North Korea .","Meanwhile , Republican senior foreign policy senator Richard Lugar also called for dialogue between U.S. and North Korea .","in the meantime , lugar , the republican senior senator on foreign affair , also urgently call for the united state to engage in dialog with north korea .","meanwhile , republican senior foreign policy senator richard lugar also call for dialogue between u.s. and north korea .",0.6129032258064516,10,28-18 26-16 27-17 7-2 8-3 16-10 17-11 4-8 14-9 9-6 11-4 2-0 24-12 3-1 ,{},{},{},{},{},{},{}
AFC20040103.0020-3-2,AFC20040103.0020,3,real,State Department said Israel responded to U.S. after the reports on Wednesday ( 31st ) .,"State Department said following the media coverage of the Wednesday ( December 31 ) incident , Israel has given its reply on the U.S. request .",state department say israel respond to u.s. after the report on wednesday ( 31st ) .,"state department say follow the medium coverage of the wednesday ( december 31 ) incident , israel have give it reply on the u.s. request .",0.6206896551724138,10,15-25 0-0 1-1 2-2 11-9 12-10 3-16 6-23 4-20 13-12 14-13 ,{},{},{},{},{},{},{}
AFC20040102.0018-7-1,AFC20040102.0018,7,real,"The exercise mainly concerns the FDD , the largest of the six rebel movements that signed the accord .","This work is chiefly related to the `` Forces for the Defense of Democracy `` , the largest of the 6 rebellious military organizations that signed the truce .","the exercise mainly concern the fdd , the large of the six rebel movement that sign the accord .","this work be chiefly relate to the `` force for the defense of democracy `` , the large of the 6 rebellious military organization that sign the truce .",0.7741935483870968,10,18-28 6-15 7-16 8-17 9-18 10-19 14-24 15-25 16-26 11-20 1-1 2-3 3-4 12-21 ,{},{},{},{},{},{},{}
NTDTV_NTDNEWS19_CMN_20060215_185801_739_993.qrtr-2-5,NTDTV_NTDNEWS19_CMN_20060215_185801_739_993.qrtr,2,real,They also said that they will continue to publicly announce how many signature have been obtained for the second batch of participants and how many people with participate .,They also said they would continue to announce the signatures and number of participants in the second batch .,they also say that they will continue to publicly announce how many signature have be obtain for the second batch of participant and how many people with participate .,they also say they would continue to announce the signature and number of participant in the second batch .,0.5172413793103448,10,28-18 0-0 1-1 2-2 17-15 18-16 19-17 6-5 7-6 20-12 21-13 9-7 12-9 24-11 4-3 ,{},{},{},{},{},{},{}
AFC20040105.0042-7-1,AFC20040105.0042,7,real,Home affairs permanent secretary Mumba said earlier he had recommended the interior minister to issue a deportation order .,The permanent secretary of the Home Affairs Ministry Peter Mumba pointed out earlier that he has suggested to the Ministry that an order be issued to deport Clark .,home affair permanent secretary mumba say earlier he have recommend the interior minister to issue a deportation order .,the permanent secretary of the home affair ministry peter mumba point out earlier that he have suggest to the ministry that an order be issue to deport clark .,0.5666666666666667,10,18-28 0-5 1-6 2-1 3-2 7-14 8-15 4-9 4-8 17-22 15-21 12-19 10-18 14-24 6-12 5-10 16-26 9-16 ,{},{},{},{},{},{},{}
AFC20050120.0008-3-4,AFC20050120.0008,3,real,"However , after South Asia 's massive tsunami tragedy , there are still differences on which country 's technology is to be used for this disaster warning system .","But after South Asia 's massive tsunami tragedy , differences remained on which country 's technology to use .","however , after south asia 's massive tsunami tragedy , there be still difference on which country 's technology be to be use for this disaster warn system .","but after south asia 's massive tsunami tragedy , difference remain on which country 's technology to use .",0.40740740740740744,10,28-18 2-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 14-11 15-12 16-13 17-14 18-15 13-9 22-17 20-16 ,{},{},{},{},{},{},{}
AFC20041209.0053-4-0,AFC20041209.0053,4,real,The Netherlands says it can not speculate how the EU will end the embargo .,The Netherlands said there should not be any guesses as to how the European Union is going to put an end to the embargo .,the netherlands say it can not speculate how the eu will end the embargo .,the netherlands say there should not be any guess a to how the european union be go to put an end to the embargo .,0.6799999999999999,10,14-24 0-0 1-1 2-2 12-22 13-23 7-11 8-12 9-14 11-20 ,{},{},{},{},{},{},{}
PD20040131.001-8-5,PD20040131.001,8,real,The Russian policy towards Chechnya and its attitude to the neighboring countries of CIS worries US even more .,Russia 's policy on Chechnya and its attitude toward its neighboring countries in the Commonwealth of Independent States have caused all the more concerns from the United States .,the russian policy towards chechnya and it attitude to the neighboring country of ci worry u even more .,russia 's policy on chechnya and it attitude toward it neighboring country in the commonwealth of independent state have cause all the more concern from the united state .,0.65625,10,18-28 4-4 5-5 6-6 7-7 10-10 11-11 2-2 13-14 1-0 3-8 14-23 ,{},{},{},{},{},{},{}
NTDTV_NTDNEWS19_CMN_20060215_185801_739_993.qrtr-6-3,NTDTV_NTDNEWS19_CMN_20060215_185801_739_993.qrtr,6,real,These people who lost their homes due to mandatory demolition and resettlement suddenly lost their income source .,The common people that experience the painful loss of their homes because they were coerced into demolishing them suddenly do n't have any income to rely on .,these people who lose their home due to mandatory demolition and resettlement suddenly lose their income source .,the common people that experience the painful loss of their home because they be coerce into demolish them suddenly do n't have any income to rely on .,0.8055555555555556,10,17-27 4-9 5-10 12-18 3-7 9-16 1-2 15-23 ,{},{},{},{},{},{},{}
HKN20040224.001-8-0,HKN20040224.001,8,real,"It is because we feel our country has an achievement that every one of us , every citizen in Hong Kong can be proud of .",Because everybody and every Hong Kong resident is proud of such achievement of the nation .,"it be because we feel our country have an achievement that every one of u , every citizen in hong kong can be proud of .",because everybody and every hong kong resident be proud of such achievement of the nation .,0.6896551724137931,10,25-15 22-7 23-8 24-9 19-4 20-5 17-6 16-3 9-11 6-14 10-0 ,{},{},{},{},{},{},{}
