Worker ID,# completed HITs ,Qualification Type,Precision,Recall,F1,Training Precision (initial),Training Recall (initial),Training F1 (initial),Training Precision (final),Training Recall (final),Training F1 (final)
A2ZRJMJTE6ID97,106,ldc,0.9390437310580176,0.914982124700884,0.9217562677843678,1.0,1.0,1.0,1.0,1.0,1.0
A1SRF7085UM3HI,1,ldc,0.8571428571428571,1.0,0.923076923076923,0.8518518518518517,0.7874317711274234,0.7953670104813284,1.0,1.0,1.0
A5ACBHV38DICN,3,ldc,1.0,0.9814814814814815,0.9904761904761905,0.9227207977207977,0.923100048100048,0.9041005291005292,1.0,1.0,1.0
A2HNL20X0Q9BP0,5,ldc,0.8698809523809524,0.9581904761904761,0.9061126331516086,0.8691520467836258,0.8891158827753032,0.8622457326772661,1.0,1.0,1.0
A1I6P3XTSPFEK5,15,ldc,0.980952380952381,0.9971014492753624,0.9882621082621081,0.9073372615039281,0.8675444925444925,0.882645761195457,0.9444444444444443,0.9351851851851851,0.9393939393939393
A37PBOUXGARPML,2,ldc,0.925,0.9333333333333333,0.929126213592233,0.9362217412217412,0.8469699583830019,0.8749205013093901,1.0,1.0,1.0
AROEBUDI2L9G9,20,ldc,0.8324577241666562,0.8728760790866054,0.847904671565163,0.7386183261183262,0.6966037183428487,0.6716022394384967,1.0,1.0,1.0
A4H1NYJVE7C53,52,ldc,0.9605309220693837,0.9356624569487816,0.9450130422086442,0.8307631874298541,0.7951813685509337,0.7953096968548801,1.0,1.0,1.0
A2NV5CA59IXOAY,25,ldc,0.9836911463149853,0.9546032709980079,0.9668493933817918,0.8412341808893533,0.7879925026664156,0.7891548682018358,1.0,1.0,1.0
A1EQ2HDHF2WWSY,69,ldc,0.9449872370987862,0.962471082651691,0.9458673481088933,0.8912217412217412,0.8022839680448374,0.8263909557013004,1.0,0.9760101010101011,0.9865079365079366
A3OKWRLKLYVH4F,33,ldc,0.9419840977996059,0.9525635613096912,0.9397379430153614,0.8043134983924459,0.8234288188998334,0.7921919776758488,1.0,1.0,1.0
A34QZDSTKZ3JO9,104,ldc,0.9378143770745817,0.9574067185153222,0.943098504205834,0.7804632163327816,0.8209750193445844,0.7843717854704297,0.9829059829059829,0.962121212121212,0.9711469534050179
A18TO2D0ADX3QT,4,ldc,0.9289297658862876,0.9375,0.9283914728682171,0.8387972865914042,0.8675810904071773,0.8396155988261251,1.0,0.9760101010101011,0.9865079365079366
