workerID,completed_HITs,correct_HITs,HIT_correctness_rate,initial_precision,initial_recall,initial_f1,final_precision,final_recall,final_f1
AC6F9EZE9MG1V,1,0,0,0.0,0.0,0,0.5,1.0,0.6666666666666666
A3QLUTH89HZQC9,6,5,0.8333333333333334,0.7645687645687645,0.7088274044795784,0.7289562289562289,0.9927536231884059,0.9927536231884059,0.9927536231884059
A203HI499F5HCI,3,0,0.0,0.7282828282828283,0.8143939393939394,0.7427065687935254,0.7073677956030897,0.8143939393939394,0.7241558441558441
A2MVQGP9T5Q5FS,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
A2QNMH7AWCFPL1,9,6,0.6666666666666666,0.5983164983164982,0.5538720538720538,0.5671674005007338,0.837962962962963,0.8194444444444444,0.8273809523809523
A3LUETNYKSGBFY,1,1,1,0.8,0.7272727272727273,0.761904761904762,1.0,1.0,1.0
AAAZWVXNMLBRL,2,1,0.5,1.0,0.9090909090909092,0.95,1.0,1.0,1.0
A243U9BA8M2EY9,1,0,0,0.0,0.0,0,0.0,0.0,0
A18ZUFGMNOVI2Y,2,1,0.5,0.85,0.6521739130434783,0.7121212121212122,0.9782608695652174,0.9782608695652174,0.9782608695652174
A1YJKLVJW1FE33,2,0,0.0,0.4166666666666667,0.35714285714285715,0.3846153846153846,0.2777777777777778,0.35714285714285715,0.31250000000000006
APG8FREAKLXMG,5,3,0.6,0.9266666666666666,0.8428571428571429,0.8649572649572649,1.0,0.9428571428571428,0.9666666666666666
A23RHCS09VH072,7,5,0.7142857142857143,0.8589569160997733,0.7831632653061225,0.8023311888858108,0.7976190476190476,1.0,0.8428571428571429
A1JVUD5XUB9H48,4,3,0.75,0.6666666666666667,0.6666666666666666,0.65,1.0,1.0,1.0
A1JP58Y4XAT7EU,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
A1DRCRAL9SH5PO,18,17,0.9444444444444444,0.8489197530864198,0.8135992429470689,0.8077141153493221,1.0,1.0,1.0
ACJR2IADLW6HD,1,1,1,0.0,0.0,0,1.0,1.0,1.0
A18TO2D0ADX3QT,18,16,0.8888888888888888,0.8387972865914042,0.8675810904071773,0.8396155988261251,1.0,0.9760101010101011,0.9865079365079366
AURYD2FH3FUOQ,18,13,0.7222222222222222,0.8827516619183284,0.8671419160549596,0.8531484673641537,0.962121212121212,0.9443742985409651,0.9426869426869426
A2ZRJMJTE6ID97,18,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ARQYCKZLIPXFH,1,1,1,1.0,0.375,0.5454545454545454,1.0,1.0,1.0
A37WDOIQH6JM6V,2,1,0.5,0.875,0.7916666666666667,0.8295454545454546,1.0,0.9166666666666667,0.9545454545454546
A33XXKGG4SP92D,1,1,1,1.0,0.8333333333333334,0.9090909090909091,1.0,1.0,1.0
A167SYXGXFU7C8,1,0,0,0.0,0.0,0,0.5333333333333333,1.0,0.6956521739130436
A2DLH5XGBNYXWS,1,0,0,0.0,0.0,0,0.7272727272727273,1.0,0.8421052631578948
A14W0IW2KGR80K,2,0,0.0,0.7272727272727273,0.8125,0.763157894736842,0.7272727272727273,0.8125,0.763157894736842
A3EBUBRYCKB6AF,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0
A25QS426U0L4ND,2,1,0.5,0.5,0.5,0.5,1.0,0.6666666666666666,0.75
A3W1BZJDOLEW9P,11,7,0.6363636363636364,0.8012987012987013,0.7397763632941499,0.748732794553228,0.9018915866741953,0.9700734048560136,0.915527950310559
A1SVY6OLOUWIOZ,12,12,1.0,0.7947360509860509,0.8047889610389611,0.7862689053865526,1.0,1.0,1.0
A1HBGAN6P9PCJW,7,4,0.5714285714285714,0.6460317460317461,0.5719260036030223,0.5909760874046589,1.0,0.9332096474953617,0.9619047619047618
A34QZDSTKZ3JO9,18,15,0.8333333333333334,0.7804632163327816,0.8209750193445844,0.7843717854704297,0.9829059829059829,0.962121212121212,0.9711469534050179
A3GE7CHWBLELVD,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
A3S2CI33U988P7,1,0,0,0.8,0.5,0.6153846153846154,0.8888888888888888,1.0,0.9411764705882353
AFSB8WBSUU2B4,1,0,0,1.0,0.6666666666666666,0.8,1.0,0.16666666666666666,0.2857142857142857
A12R2U6TBB3OOG,18,14,0.7777777777777778,0.8811026936026936,0.8698161741640004,0.863660465049354,1.0,0.984126984126984,0.9907407407407407
A9UBPUEWAMA06,1,0,0,1.0,0.5,0.6666666666666666,1.0,1.0,1.0
A2V0KT4Q3KR9E7,4,2,0.5,0.5249999999999999,0.5386904761904762,0.5272727272727272,0.9583333333333334,0.9583333333333334,0.9583333333333334
AJD3JOWNVDZD1,15,12,0.8,0.7576315789473685,0.6508014931927976,0.6756613756613757,0.9942028985507246,0.964573268921095,0.9751552795031057
A1RWNYJA5X25YH,2,2,1.0,0.5952380952380952,0.8333333333333333,0.6481481481481481,1.0,1.0,1.0
A1X6Z5P43QE3IP,5,4,0.8,0.8833333333333333,0.6802371541501976,0.7466703895016055,1.0,0.9428571428571428,0.9666666666666666
A11INOLBSOUEVA,4,2,0.5,0.625,0.5833333333333333,0.5416666666666667,0.8888888888888888,0.9285714285714286,0.90625
A2OOOVLDSZDXMS,3,3,1.0,0.6666666666666666,0.375,0.4786324786324786,1.0,1.0,1.0
A2ZMXBMLTPSS4D,2,2,1.0,1.0,0.875,0.9285714285714286,1.0,1.0,1.0
AFQKLIYNCVZTL,5,3,0.6,0.8380165289256198,0.7777777777777778,0.7092222222222222,0.8380165289256198,0.8777777777777778,0.775888888888889
A2NSYLARWXDBCL,18,17,0.9444444444444444,0.9494301994301995,0.8195372461676811,0.8507737432097832,1.0,0.984126984126984,0.9907407407407407
A2AAY4VT9L71SY,3,3,1.0,0.16666666666666669,0.33333333333333337,0.2222222222222222,1.0,1.0,1.0
A2MKUZ0K3S7NQU,3,1,0.3333333333333333,0.6666666666666667,0.5833333333333333,0.6190476190476191,0.6666666666666667,0.6666666666666667,0.6666666666666667
