workerID,completed_HITs,correct_HITs,HIT_correctness_rate,initial_precision,initial_recall,initial_f1,initial_precision_difference_from_baseline,initial_recall_difference_from_baseline,initial_f1_difference_from_baseline,final_precision,final_recall,final_f1
A1UXWUM04RAO59,18,15,0.8333333333333334,0.824609341276008,0.7403542847383426,0.7556323074916719,0.014104495244846027,0.03516121312650766,0.030927602651143915,0.9976851851851853,0.996031746031746,0.9967603537343489
A2B7SFNS7F3GY9,18,15,0.8333333333333334,0.7955128205128206,0.7285388390460853,0.7295754479662526,-0.014992025518341445,0.02334576743425032,0.004870743125724664,1.0,0.9936162870945481,0.9967078189300411
A333STM8M95GJX,18,17,0.9444444444444444,0.9012345679012345,0.8424074248349611,0.8433670239225795,0.09072972187007244,0.13721435322312614,0.11866231908205149,1.0,1.0,1.0
A1X6Z5P43QE3IP,22,19,0.8636363636363636,0.8318170243303933,0.776346183460808,0.7725065934709073,0.021312178299231266,0.071153111848973,0.047801888630379374,1.0,0.9850367024280069,0.9914141414141414
AO8LXT6Z1D9MU,18,18,1.0,1.0,1.0,1.0,0.18949515396883798,0.294806928388165,0.27529529515947204,1.0,1.0,1.0
A32AUS7ZYWFXYC,18,16,0.8888888888888888,0.8635588339535708,0.8456711699465322,0.8224466673742037,0.053053987922408785,0.14047809833469727,0.09774196253367573,1.0,0.98989898989899,0.9944444444444445
A1SRF7085UM3HI,18,18,1.0,0.8518518518518517,0.7874317711274234,0.7953670104813284,0.04134700582068973,0.08223869951558838,0.07066230564080045,1.0,1.0,1.0
AJD3JOWNVDZD1,18,15,0.8333333333333334,0.7517300194931773,0.6931282284543153,0.6908289241622574,-0.058774826537984715,-0.012064843157519656,-0.03387578067827057,0.9951690821256038,0.9704777241009125,0.979296066252588
A3QLUTH89HZQC9,18,17,0.9444444444444444,0.8221402054735387,0.7674706868547448,0.7713090693144784,0.011635359442376703,0.06227761524290987,0.046604364473950444,0.997584541062802,0.997584541062802,0.997584541062802
A38GYT6H3YKG4J,18,17,0.9444444444444444,0.8220238095238095,0.7265756251263499,0.7520171186837854,0.011518963492647472,0.0213825535145149,0.027312413843257444,0.9722222222222222,1.0,0.9814814814814814
AXR8QNGNBF1DU,18,17,0.9444444444444444,0.8341524216524218,0.7987548884288014,0.7885141093474427,0.023647575621259742,0.0935618168169664,0.06380940450691475,1.0,1.0,1.0
A1DRCRAL9SH5PO,18,17,0.9444444444444444,0.8489197530864198,0.8135992429470689,0.8077141153493221,0.03841490705525774,0.10840617133523389,0.08300941050879418,1.0,1.0,1.0
A2NV5CA59IXOAY,18,16,0.8888888888888888,0.8412341808893533,0.7879925026664156,0.7891548682018358,0.030729334858191293,0.08279943105458065,0.06445016336130782,1.0,1.0,1.0
A2PO6X5005FNDI,18,17,0.9444444444444444,0.908080808080808,0.8830484799687699,0.8674066290472343,0.09757596204964603,0.17785540835693492,0.14270192420670635,1.0,0.997584541062802,0.9987654320987654
A8EFYHEFE8S9C,18,17,0.9444444444444444,0.8196322196322195,0.7808167074471423,0.7763393149641028,0.009127373601057531,0.07562363583530729,0.05163461012357484,1.0,1.0,1.0
A1P8IPYP0KB1TA,16,14,0.875,0.725,0.7364076518288474,0.7046855921855921,-0.08550484603116204,0.0312145802170124,-0.020019112654935833,0.953125,0.96875,0.9416666666666667
AROEBUDI2L9G9,18,18,1.0,0.7386183261183262,0.6966037183428487,0.6716022394384967,-0.07188651991283579,-0.008589353268986244,-0.05310246540203123,1.0,1.0,1.0
A115UFR6VA6OM1,18,15,0.8333333333333334,0.7951261701261702,0.7851169563126084,0.7535924723424724,-0.015378675904991868,0.07992388470077338,0.02888776750194444,1.0,1.0,1.0
A1EQ2HDHF2WWSY,18,16,0.8888888888888888,0.8912217412217412,0.8022839680448374,0.8263909557013004,0.08071689519057923,0.0970908964330024,0.10168625086077243,1.0,0.9760101010101011,0.9865079365079366
A3OKWRLKLYVH4F,18,17,0.9444444444444444,0.8043134983924459,0.8234288188998334,0.7921919776758488,-0.006191347638716094,0.11823574728799846,0.06748727283532086,1.0,1.0,1.0
A15Q13YESD28V6,18,18,1.0,0.8654985754985755,0.8323190497103541,0.8316239316239317,0.05499372946741343,0.1271259780985191,0.10691922678340371,1.0,1.0,1.0
A20MX2GRMYZ3BO,18,18,1.0,0.8149264134558253,0.8948861457919428,0.8321586240898635,0.004421567424663264,0.18969307418010783,0.10745391924933556,1.0,1.0,1.0
A2FZE7CARM54IG,18,15,0.8333333333333334,0.7428972262305596,0.7856872730061135,0.7442690796857464,-0.06760761980060237,0.08049420139427854,0.019564374845218446,0.9695815295815295,0.9652076318742985,0.9667508417508418
A4H1NYJVE7C53,18,18,1.0,0.8307631874298541,0.7951813685509337,0.7953096968548801,0.020258341398692092,0.08998829693909871,0.07060499201435211,1.0,1.0,1.0
A37PBOUXGARPML,18,18,1.0,0.9362217412217412,0.8469699583830019,0.8749205013093901,0.12571689519057916,0.14177688677116695,0.15021579646886218,1.0,1.0,1.0
A3CTRPYM593S4J,18,16,0.8888888888888888,0.805331088664422,0.7510656949062746,0.7613395233466917,-0.005173757366739973,0.04587262329443964,0.03663481850616379,0.9970760233918128,0.9861111111111112,0.9905619905619905
A1I6P3XTSPFEK5,18,16,0.8888888888888888,0.9073372615039281,0.8675444925444925,0.882645761195457,0.09683241547276611,0.16235142093265753,0.15794105635492905,0.9444444444444443,0.9351851851851851,0.9393939393939393
AZZDXA6TV6737,18,18,1.0,0.9237037614898027,0.8599865982112359,0.8672937971851015,0.11319891545864069,0.15479352659940093,0.1425890923445735,1.0,1.0,1.0
A2QTP92PCZUGI2,18,16,0.8888888888888888,0.9139730639730639,0.9346741221741222,0.9099370293043988,0.10346821794190186,0.22948105056228718,0.18523232446387083,0.9833333333333333,1.0,0.9901960784313724
A18TO2D0ADX3QT,18,16,0.8888888888888888,0.8387972865914042,0.8675810904071773,0.8396155988261251,0.02829244056024216,0.16238801879534237,0.11491089398559717,1.0,0.9760101010101011,0.9865079365079366
A34QZDSTKZ3JO9,18,15,0.8333333333333334,0.7804632163327816,0.8209750193445844,0.7843717854704297,-0.030041629698380423,0.11578194773274941,0.05966708062990178,0.9829059829059829,0.962121212121212,0.9711469534050179
A3KEM7W73EQB5Y,17,14,0.8235294117647058,0.7605374729077151,0.7785440263061746,0.7252563059963439,-0.0499673731234469,0.07335095469433961,0.0005516011558159839,0.9362745098039217,0.938618925831202,0.937421777221527
A3KXSP2K60IZMB,18,17,0.9444444444444444,0.8558201058201057,0.8001368934339949,0.8140138154027043,0.045315259788943685,0.09494382182215988,0.08930911056217639,1.0,1.0,1.0
A3BBDCU69807T2,18,18,1.0,0.7863654863654862,0.78613777526821,0.7592914801248135,-0.02413935966567582,0.08094470365637507,0.034586775284285554,1.0,1.0,1.0
A1UMJ5G9Z0A76F,18,16,0.8888888888888888,0.9113562091503267,0.8105799192755714,0.8356368168868169,0.10085136311916465,0.1053868476637364,0.11093211204628894,1.0,0.9836956521739132,0.9908289241622575
A3QUWIT972BYUH,18,18,1.0,0.6577821869488536,0.7730109061630801,0.6625521078296221,-0.15272265908230842,0.06781783455124513,-0.06215259701090581,1.0,1.0,1.0
A30NLLSDHFVM38,18,17,0.9444444444444444,0.8639838556505223,0.8509748102139406,0.8305735114558646,0.05347900961936025,0.14578173860210564,0.1058688066153366,0.9944444444444444,0.9722222222222221,0.9801587301587301
AL83KKXUORS9Y,18,18,1.0,0.876586068252735,0.6889547650417216,0.7416384676618596,0.06608122222157298,-0.01623830657011338,0.016933762821331633,1.0,1.0,1.0
A1PTPOCNR967O5,18,17,0.9444444444444444,0.8234342979957016,0.7957725983088302,0.7898468815135481,0.01292945196453954,0.0905795266969952,0.06514217667302014,0.9722222222222222,1.0,0.9814814814814814
AZGBKAM5JUV5A,16,14,0.875,0.9886363636363636,0.9417613636363636,0.9603475228475229,0.17813151760520163,0.23656829202452867,0.23564281800699494,1.0,0.9910714285714286,0.9951923076923077
A2ZRJMJTE6ID97,18,18,1.0,1.0,1.0,1.0,0.18949515396883798,0.294806928388165,0.27529529515947204,1.0,1.0,1.0
ADW969XQFSE3I,18,16,0.8888888888888888,0.8924769808827779,0.8809205756669526,0.874207905199001,0.08197213485161592,0.1757275040551176,0.1495032003584731,0.9917695473251031,0.98989898989899,0.9899999999999999
A2HNL20X0Q9BP0,18,18,1.0,0.8691520467836258,0.8891158827753032,0.8622457326772661,0.05864720075246377,0.1839228111634682,0.13754102783673816,1.0,1.0,1.0
A17JNO43TQ6DZT,18,18,1.0,0.9624060150375942,0.9046390405086057,0.9164021164021163,0.15190116900643214,0.1994459688967707,0.19169741156158837,1.0,1.0,1.0
A5ACBHV38DICN,18,18,1.0,0.9227207977207977,0.923100048100048,0.9041005291005292,0.11221595168963572,0.217906976488213,0.17939582426000122,1.0,1.0,1.0
A1OKRTF0JVITHL,18,16,0.8888888888888888,0.9444444444444443,0.9254148629148629,0.9188052688052688,0.1339395984132823,0.22022179130302788,0.19410056396474085,0.9930555555555556,0.9791666666666666,0.9834757834757836
A2NSYLARWXDBCL,18,17,0.9444444444444444,0.9494301994301995,0.819537246167681,0.8507737432097834,0.13892535339903744,0.114344174555846,0.12606903836925543,1.0,0.9841269841269841,0.9907407407407408
A2RMQFCSUFD6F6,18,15,0.8333333333333334,0.9289303289303289,0.8506937909111822,0.8727348782904337,0.11842548289916688,0.14550071929934727,0.14803017344990577,0.9924242424242424,0.9663482652613087,0.9778659611992945
